year,issue_tbills,issue_bonds,redempt_tbills,redempt_bonds,outstand_tbills,outstand_bonds
1991,2410220022902660,10504508000,1770196020502380,05007000,2710295031903470,7660761077107710
1992,3210280039403940,8507007001450,2760255031703940,6505003001200,3920417049404940,7910811085108760
1993,3520389049903810,8305501350530,3740402048903510,530010300,4720459046904990,90609610993010460
1994,4220355042404120,8507508001350,4160364046603660,85060001650,5050496045405000,10460106101141011110
1995,5110467047905400,10508001750600,5000399047905440,055019500,5110579057905750,12160124101221012810
1996,5310543053005210,13505001400900,4960554049905520,65001300500,6100599063005990,13510140101411014510
1997,5360560049906540,01630980850,4770566048206310,01450950600,6580652066906920,14510146901472014970
1998,5640710065308270,110070042501750,4870678064007870,550021300,7690801081408540,15520162201834020090
1999,64608840874011260,2300188019001350,6140786086209060,8508501830850,88609840996012160,21540225702264023140
2000,952011520943011380,3000230041002700,996010420952010730,15307002300850,11720128201273013380,24610262102801029860
2001,9730123501020012150,3900260045003200,938011730985012200,800198023000,13730143501470014650,32960335803578038980
2002,10650137501195014550,700150028003400,10350131501155013750,0348002600,14950155501595016750,39680377004050041300
2003,12350148501200014700,200028004000800,12150145501235014400,70035008500,16950172501690017200,42600419004505045850
2004,13100168001540017700,3900130060002700,12300156001540016700,3000325001500,18000192001920020200,46750448005080052000
2005,15800195001690018700,3800230057001100,14900183001690019700,4600003600,21100223002230021300,51200535005920056700
2006,16400214002080023200,3500210030000,16400190001880023100,2700026000,21300237002570025800,57500596006000060000
2007,23400274002470030100,4200550035002200,20800260002460027100,6300003900,28400298002990032900,57900634006690065200
2008,29500360003050032800,290047003800700,27100323003590030500,0380048000,35300390003360035900,68100690006800068700
2009,35400432004320052200,4200280036002200,30000385003990049400,6000003900,41300460004930052100,66900697007330071600
2010,41600498005120053500,3300400045001600,42000484004980050900,0390059000,51700531005450057100,74900750007360075200
2011,50700543005070055500,4900520038001800,49900543005070054300,4700068000,57900579005790059100,75400806007760079400
2012,52000560005100044000,5200360056002000,51900556005200042600,0510034004700,59200596005860060000,84600831008530082600
2013,38000356001680018000,4100470035002500,38000440002400023600,0520062000,60000516004440038800,86700862008350086000
2014,0400004000,3800530068002900,168001800004000,2900058006000,22000800080008000,86900922009320090100
2015,0420004300,4800510039002500,0400004000,2900063000,8000820082008500,92000971009470097200
2016,0450004500,4100640055002800,0420004300,0730077000,8500880088009000,10130010040098200101000
2017,2200250023002500,4600490026003400,0450004500,0750002500,112009200115009500,105600103000105600106500
2018,2500260025002600,4600870059002500,2200250023002500,0670068000,980099001010010200,111100113100112200114700
2019,270028002870028300,4500820071005200,2500260025006300,0870007100,10400106003680058800,119200118700125800123900
2020,25200287002530028800,4800650099004700,25000283002500028500,00135000,59000594005970060000,128700135200131600136300
2021,2630031800,59008500,2530028800,08000,6100064000,142200142700
